"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"Attachment %1","Attachment %1"
"Attachment File","Attachment File"
"Attachment Information","Attachment Information"
"Attachment to delete was not found.","Attachment to delete was not found."
"Attachment","Attachment"
"Attachments","Attachments"
"Create New Attachment","Create New Attachment"
"Customer Group","Customer Group"
"Delete Attachment","Delete Attachment"
"Disable","Disable"
"Edit Attachment '%1'","Edit Attachment '%1'"
"Enable","Enable"
"ID","ID"
"New Attachment","New Attachment"
"Please Select Attachments.","Please Select Attachments."
"Save Attachment","Save Attachment"
"Save and Continue Edit","Save and Continue Edit"
"Something went wrong while saving the Attachment.","Something went wrong while saving the Attachment."
"Status","Status"
"Test1","Test1"
"Test2","Test2"
"The Attachment has been deleted.","The Attachment has been deleted."
"The Attachment has been saved.","The Attachment has been saved."
"This Attachment no longer exists.","This Attachment no longer exists."
"Title","Title"
